area,month,count
CATHEDRAL,2025-04,22
CATHEDRAL,2025-05,5
CATHEDRAL,2025-06,4
CATHEDRAL,2025-07,5
CATHEDRAL,2025-08,1
CATHEDRAL,2025-09,2
CATHEDRAL,2025-10,3
CATHEDRAL,2025-11,3
CATHEDRAL,2025-12,1
CATHEDRAL,2026-01,16
CATHEDRAL,2026-02,1
CATHEDRAL,2026-03,1
CENTRE SQUARE,2018-03,2
CENTRE SQUARE,2018-09,1
CENTRE SQUARE,2019-02,1
CENTRE SQUARE,2019-03,2
CENTRE SQUARE,2019-04,1
CENTRE SQUARE,2019-12,2
CENTRE SQUARE,2020-04,1
CENTRE SQUARE,2021-10,3
CENTRE SQUARE,2022-02,1
CENTRE SQUARE,2022-05,1
CENTRE SQUARE,2023-01,1
CENTRE SQUARE,2023-09,1
CENTRE SQUARE,2024-01,165
CENTRE SQUARE,2024-06,1
CENTRE SQUARE,2024-07,1
CENTRE SQUARE,2024-09,2
DOWNTOWN,2016-06,5
DOWNTOWN,2018-07,1
DOWNTOWN,2019-02,4
DOWNTOWN,2021-09,1
DOWNTOWN,2023-09,8
DOWNTOWN,2024-01,308
DOWNTOWN,2024-06,1
EASTVIEW,2017-08,1
EASTVIEW,2018-02,2
EASTVIEW,2018-03,2
EASTVIEW,2018-04,1
EASTVIEW,2018-11,1
EASTVIEW,2019-05,1
EASTVIEW,2019-12,3
EASTVIEW,2020-02,3
EASTVIEW,2021-04,18
EASTVIEW,2022-06,4
EASTVIEW,2022-11,2
EASTVIEW,2023-07,1
EASTVIEW,2023-08,2
EASTVIEW,2023-09,1
EASTVIEW,2024-01,14
EASTVIEW,2024-02,8
EASTVIEW,2024-07,1
EASTVIEW,2024-12,1
EASTVIEW,2025-01,1
EASTVIEW,2025-08,1
HERITAGE,2016-04,4
HERITAGE,2016-05,1
HERITAGE,2016-06,1
HERITAGE,2016-08,1
HERITAGE,2016-10,2
HERITAGE,2016-11,3
HERITAGE,2017-01,1
HERITAGE,2017-03,4
HERITAGE,2017-04,1
HERITAGE,2017-06,2
HERITAGE,2018-01,8
HERITAGE,2018-02,2
HERITAGE,2018-04,3
HERITAGE,2018-10,13
HERITAGE,2018-11,4
HERITAGE,2019-02,4
HERITAGE,2019-03,5
HERITAGE,2019-04,2
HERITAGE,2019-05,4
HERITAGE,2019-06,4
HERITAGE,2019-07,10
HERITAGE,2019-10,3
HERITAGE,2019-11,3
HERITAGE,2020-01,3
HERITAGE,2020-02,4
HERITAGE,2020-03,47
HERITAGE,2020-04,3
HERITAGE,2020-07,2
HERITAGE,2020-08,3
HERITAGE,2020-10,2
HERITAGE,2020-11,1
HERITAGE,2020-12,1
HERITAGE,2021-01,1
HERITAGE,2021-02,3
HERITAGE,2021-03,1
HERITAGE,2021-05,1
HERITAGE,2021-06,1
HERITAGE,2021-07,2
HERITAGE,2021-08,2
HERITAGE,2021-09,10
HERITAGE,2021-11,2
HERITAGE,2021-12,2
