geo_uid,geo_id_code,geo_name,prov_code,geo,regina_filter_tag,population_total,private_dwellings_total,median_after_tax_income_households,lim_at_prevalence_pct,lim_at_children_0_17_count,lim_at_children_0_17_pct,tenure_total,tenure_owner,tenure_renter,indigenous_identity_total,indigenous_identity_count,age_0_14_total,age_0_4_total,age_5_9_total,age_10_14_total,immigrant_count,visible_minority_count,lone_parent_family_count,couples_with_children_count,unemployment_rate_pct,education_no_certificate_25_64,education_bachelor_or_higher_25_64,tenure_owner_pct,tenure_renter_pct,indigenous_identity_pct,children_0_14_pct
2016S05077050023.02,7050023.02,0023.02,47,CT,CT_DGUID_PREFIX_2016S0507705,4417.0,1680.0,71066.0,10.9,205.0,18.3,1640.0,1065.0,575.0,4185.0,380.0,970.0,355.0,330.0,285.0,950.0,1055.0,225.0,575.0,6.8,180.0,605.0,64.939024,35.060976,9.080048,21.960607
2016S05077050024.00,7050024.00,0024.00,47,CT,CT_DGUID_PREFIX_2016S0507705,2858.0,1165.0,68288.0,12.0,175.0,24.5,1095.0,930.0,165.0,2905.0,430.0,620.0,200.0,230.0,185.0,395.0,410.0,180.0,320.0,5.3,135.0,225.0,84.931507,15.068493,14.802065,21.693492
2016S05077050025.01,7050025.01,0025.01,47,CT,CT_DGUID_PREFIX_2016S0507705,4230.0,1739.0,55776.0,19.5,400.0,34.3,1635.0,950.0,680.0,4220.0,740.0,1010.0,375.0,350.0,290.0,940.0,1095.0,325.0,460.0,5.8,395.0,440.0,58.103976,41.590214,17.535545,23.877069
2016S05077050025.02,7050025.02,0025.02,47,CT,CT_DGUID_PREFIX_2016S0507705,3214.0,1406.0,57952.0,11.7,120.0,19.2,1385.0,825.0,550.0,3155.0,305.0,515.0,165.0,170.0,180.0,610.0,670.0,170.0,325.0,9.1,165.0,400.0,59.566787,39.711191,9.667195,16.023647
2016S05077050026.00,7050026.00,0026.00,47,CT,CT_DGUID_PREFIX_2016S0507705,4024.0,2199.0,44437.0,16.7,180.0,27.1,2035.0,920.0,1115.0,3965.0,510.0,580.0,235.0,200.0,150.0,740.0,810.0,225.0,295.0,6.3,255.0,320.0,45.208845,54.791155,12.862547,14.413519
2016S05077050027.00,7050027.00,0027.00,47,CT,CT_DGUID_PREFIX_2016S0507705,3624.0,1589.0,58304.0,16.1,235.0,27.8,1505.0,1015.0,495.0,3645.0,780.0,715.0,265.0,230.0,215.0,370.0,410.0,290.0,325.0,7.4,405.0,210.0,67.441860,32.890365,21.399177,19.729581
2016S05077050028.01,7050028.01,0028.01,47,CT,CT_DGUID_PREFIX_2016S0507705,2919.0,1100.0,78720.0,9.1,130.0,18.1,1085.0,915.0,170.0,2880.0,250.0,635.0,225.0,230.0,185.0,435.0,460.0,175.0,370.0,5.2,155.0,390.0,84.331797,15.668203,8.680556,21.754025
2016S05077050028.02,7050028.02,0028.02,47,CT,CT_DGUID_PREFIX_2016S0507705,3712.0,1384.0,75118.0,12.0,190.0,20.7,1355.0,990.0,365.0,3535.0,425.0,770.0,280.0,275.0,215.0,415.0,360.0,280.0,460.0,6.5,200.0,365.0,73.062731,26.937269,12.022631,20.743534
2016S05077050028.03,7050028.03,0028.03,47,CT,CT_DGUID_PREFIX_2016S0507705,4210.0,1587.0,85760.0,5.2,80.0,9.2,1575.0,1345.0,230.0,4325.0,400.0,720.0,215.0,260.0,240.0,570.0,525.0,170.0,570.0,4.9,110.0,555.0,85.396825,14.603175,9.248555,17.102138
2016S05077050100.01,7050100.01,0100.01,47,CT,CT_DGUID_PREFIX_2016S0507705,3687.0,1447.0,86418.0,6.0,80.0,10.4,1385.0,1100.0,280.0,3635.0,350.0,650.0,210.0,235.0,205.0,310.0,270.0,195.0,450.0,5.3,140.0,335.0,79.422383,20.216606,9.628611,17.629509
2016S05077050100.02,7050100.02,0100.02,47,CT,CT_DGUID_PREFIX_2016S0507705,4548.0,1504.0,118807.0,1.4,30.0,2.5,1520.0,1495.0,20.0,4545.0,150.0,1075.0,370.0,380.0,325.0,455.0,560.0,95.0,780.0,4.2,75.0,830.0,98.355263,1.315789,3.300330,23.636763
2016S05077050100.03,7050100.03,0100.03,47,CT,CT_DGUID_PREFIX_2016S0507705,5337.0,2062.0,80384.0,6.4,135.0,11.0,2050.0,1705.0,345.0,5345.0,665.0,1000.0,315.0,380.0,305.0,465.0,445.0,350.0,660.0,6.5,250.0,540.0,83.170732,16.829268,12.441534,18.737118
2016S05077050100.04,7050100.04,0100.04,47,CT,CT_DGUID_PREFIX_2016S0507705,9581.0,3742.0,95049.0,4.7,160.0,6.4,3555.0,2970.0,585.0,9530.0,435.0,2105.0,690.0,770.0,645.0,1510.0,1765.0,325.0,1430.0,4.5,205.0,1830.0,83.544304,16.455696,4.564533,21.970567
